Name,Link,Default Branch,SHA,Stargazers Count,Forks Count,Date
xtuhcy/gecco,https://github.com/xtuhcy/gecco,master,a0c18d230e850adc915a6935db01202256938a4d,2414,892,13/12/2022 17:46:03
scottfrederick/spring-music,https://github.com/scottfrederick/spring-music,master,a9e75ad5df20cda3a030fb6caa82d9108b2959ce,61,893,13/12/2022 17:44:40
DTStack/flinkStreamSQL,https://github.com/DTStack/flinkStreamSQL,1.10_release,fd15f55eaebc7437fc9856d4d0855d54bdc0a1d3,1885,893,13/12/2022 17:46:03
ekoontz/hadoop-common,https://github.com/ekoontz/hadoop-common,trunk,b129e271c9b2a7fc78547f47569af5fd5726c718,15,894,13/12/2022 17:44:34
binarywang/weixin-java-mp-demo,https://github.com/binarywang/weixin-java-mp-demo,master,a7922b524fd8aa2e7ceb15972b9f9e55caef0faa,1615,894,13/12/2022 17:46:03
conduktor/kafka-beginners-course,https://github.com/conduktor/kafka-beginners-course,main,224674b8788c2c2e5930efb0f47dd3e56c058479,739,895,13/12/2022 17:44:40
juleswhite/mobilecloud-14,https://github.com/juleswhite/mobilecloud-14,master,6059105d5cf6ef6a0c828eef3eb00757482f2521,391,896,13/12/2022 17:46:03
jenkins-infra/repository-permissions-updater,https://github.com/jenkins-infra/repository-permissions-updater,master,3e9fa6b647109d5b6bb7beddc148508cdd955eb4,64,896,13/12/2022 17:46:03
zhisheng17/blog,https://github.com/zhisheng17/blog,master,d0497553b76d44b9b176c121d3af96bb6d678c04,1437,898,13/12/2022 17:46:03
nayuki/QR-Code-generator,https://github.com/nayuki/QR-Code-generator,master,0dbd3b2133180e55e6b5abc4eabe1b78abfc5cac,3272,898,13/12/2022 17:46:03
Pay-Group/best-pay-sdk,https://github.com/Pay-Group/best-pay-sdk,develop,c95accb7baa0ec786a56fab1f2d47bc277777930,2768,900,13/12/2022 17:46:03
pavansolapure/opencodez-samples,https://github.com/pavansolapure/opencodez-samples,master,f5ef3de060cd9b2b16766fe860689d9b4d72f4a2,266,901,13/12/2022 17:46:03
rahulshettyacademy/DevopsBasics,https://github.com/rahulshettyacademy/DevopsBasics,master,5251e1b9d24d4672797c4e77026e10c6a019a26c,31,903,13/12/2022 17:44:40
kennyk65/Microservices-With-Spring-Student-Files,https://github.com/kennyk65/Microservices-With-Spring-Student-Files,master,9f9c13d817ca3664a8190e04c45e50c1cef48db2,308,904,13/12/2022 17:44:34
happyfish100/fastdfs-client-java,https://github.com/happyfish100/fastdfs-client-java,master,9cc79ed75d3ea643b28f5068e3352647dbbfa88e,1537,904,13/12/2022 17:46:03
cyrilmottier/GreenDroid,https://github.com/cyrilmottier/GreenDroid,master,abd9769f677bb4a753f0bf1119f961187bdf7020,2590,904,13/12/2022 17:46:03
springframeworkguru/tdd-by-example,https://github.com/springframeworkguru/tdd-by-example,master,50b78d96fd1a6255959b6c7ad733d71694c7f1e0,100,904,13/12/2022 17:46:03
guolindev/coolweather,https://github.com/guolindev/coolweather,master,396425a4f342b941c3bd8978d15645bc47b48afc,473,905,13/12/2022 17:46:03
rmtheis/android-ocr,https://github.com/rmtheis/android-ocr,master,41445b44c9c88ad03841c3e664f8cce0805a25e6,2197,908,13/12/2022 17:47:02
javadevjournal/javadevjournal,https://github.com/javadevjournal/javadevjournal,master,a584c7bee6cdec4a4a7b5d81b363216dbfbdc6c2,359,909,13/12/2022 17:46:03
square/otto,https://github.com/square/otto,master,2a67589abd91879cf23a8c96542b59349485ec3d,5194,910,13/12/2022 17:46:03
claritylab/lucida,https://github.com/claritylab/lucida,master,3256bfa84be24eda7c988b1e61ed4cee0663410d,4820,910,13/12/2022 17:46:03
osmandapp/OsmAnd,https://github.com/osmandapp/OsmAnd,master,124da24929a0be64266265daf84f5ec7d99e541c,3441,911,13/12/2022 17:44:34
qos-ch/slf4j,https://github.com/qos-ch/slf4j,master,f85104040ce44ac545e15e4f41ef771a7a7f7add,2054,911,13/12/2022 17:44:34
x-ream/sqli,https://github.com/x-ream/sqli,master,6c8088a4f95818e4b2a761f0e526868d0e55c0cb,1912,911,13/12/2022 17:46:03
pubnub/java,https://github.com/pubnub/java,master,1f3f06b95572f42874f5e95aa7c3fc8b99148379,579,912,13/12/2022 17:44:34
Chora10/Cknife,https://github.com/Chora10/Cknife,master,79dae24e2a9917ffa983c68def4dc858e295451b,2308,912,13/12/2022 17:46:03
rohitghatol/spring-boot-microservices,https://github.com/rohitghatol/spring-boot-microservices,master,a3c9df9350a07578df281949e6018d01ac37238e,1669,913,13/12/2022 17:44:34
reactor/lite-rx-api-hands-on,https://github.com/reactor/lite-rx-api-hands-on,master,496750b8750e0c25b619a12bea7ee8e2f3c2d472,969,914,13/12/2022 17:47:02
mate-academy/jv-oop,https://github.com/mate-academy/jv-oop,master,94f3d3c715cd63c89ae671303b998a480436c7c4,4,914,13/12/2022 17:47:02
unline2/RandomImage,https://github.com/unline2/RandomImage,master,91686bc8e6404973db2048a595fe5e8480d59671,1315,919,13/12/2022 17:45:53
javagrowing/JGrowing,https://github.com/javagrowing/JGrowing,master,425cd785cb93c9daeaf3630529ece76ca4a7bbd3,4383,919,13/12/2022 17:45:53
wszf/androrat,https://github.com/wszf/androrat,master,e831ccbc6740dd2b9329f65ef25496803773f65f,1665,920,13/12/2022 17:45:53
yinjihuan/spring-cloud,https://github.com/yinjihuan/spring-cloud,master,a5a963ebf8c99cf78f9f44a9940955661525957b,1742,921,13/12/2022 17:44:34
bz51/SpringBoot-Dubbo-Docker-Jenkins,https://github.com/bz51/SpringBoot-Dubbo-Docker-Jenkins,master,d7367a3176cf4baef8cce11ec5c5af3b648c80fe,2074,921,13/12/2022 17:45:53
googlemaps/google-maps-services-java,https://github.com/googlemaps/google-maps-services-java,main,97bf3c5e764721b7651a3b97b9eb1554403d1caa,1568,922,13/12/2022 17:45:53
Coveros/helloworld,https://github.com/Coveros/helloworld,master,649d8b1484235ea186b060fae08c5ca1598a8327,12,922,13/12/2022 17:46:03
liuyangming/ByteTCC,https://github.com/liuyangming/ByteTCC,master,1355b11548e922c672dced712956a8f65d92a805,2842,924,13/12/2022 17:45:53
kevinsawicki/github-maven-example,https://github.com/kevinsawicki/github-maven-example,master,27374b94fe4708c92e313d944cdc1bdd43841df6,133,925,13/12/2022 17:44:34
btraceio/btrace,https://github.com/btraceio/btrace,develop,ca8ce172c5a7c8ba79377623aef2a039c20140c2,5281,925,13/12/2022 17:45:53
zaiyunduan123/springboot-seckill,https://github.com/zaiyunduan123/springboot-seckill,master,6343f3c33836edf26df7005e02ba9643818fdb75,2278,926,13/12/2022 17:45:53
CellularPrivacy/Android-IMSI-Catcher-Detector,https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector,development,bfa768498f374579e854310b97c9d10479542df1,4303,926,13/12/2022 17:45:53
facebookarchive/react-native-fbsdk,https://github.com/facebookarchive/react-native-fbsdk,master,b8ed568b05f3e41e6d6b937ae3125492f95e60bf,2998,927,13/12/2022 17:44:34
janishar/android-mvvm-architecture,https://github.com/janishar/android-mvvm-architecture,master,d20f277b0cf478f53679b01bf2ce73d5c0870ebe,2834,929,13/12/2022 17:44:34
apache/drill,https://github.com/apache/drill,master,536a246a0745f7dae4227d5ea930d66046b8d5ed,1751,930,13/12/2022 17:44:34
LawnchairLauncher/lawnchair,https://github.com/LawnchairLauncher/lawnchair,12.1-dev,c75fd3f72dc0e5299e5d728cca16b6dbca6809e9,6550,930,13/12/2022 17:45:53
WinterChenS/my-site,https://github.com/WinterChenS/my-site,master,2d2c53912db77108ed0f52427ec4269bc756e384,2765,934,13/12/2022 17:44:34
alibaba/yugong,https://github.com/alibaba/yugong,master,94a5888688415510a20bd72d246cbf93eb1d43f0,2368,934,13/12/2022 17:45:53
Yalantis/Phoenix,https://github.com/Yalantis/Phoenix,master,50728bc07b84c44863438128cf72b434c00bb1c9,4037,935,13/12/2022 17:44:34
lzyzsd/CircleProgress,https://github.com/lzyzsd/CircleProgress,master,8ecd5b87d747f5a486313b0f56e4f197b13f93de,3738,935,13/12/2022 17:44:39
codecentric/springboot-sample-app,https://github.com/codecentric/springboot-sample-app,master,1e81f65dfb11128fa4e2b736b1c10e0f932c8a41,20,936,13/12/2022 17:44:39
zendesk/maxwell,https://github.com/zendesk/maxwell,master,2067468ea2bbfbef9690eb014954a3b88520afce,3498,936,13/12/2022 17:45:53
qq53182347/liugh-parent,https://github.com/qq53182347/liugh-parent,master,dda544f1d9e7b7697a8bcf684af728f35ee81150,2274,937,13/12/2022 17:44:34
opentripplanner/OpenTripPlanner,https://github.com/opentripplanner/OpenTripPlanner,dev-2.x,1f6f0de88f1db5f5a32a87ba1dbf8c793a2f58f0,1795,937,13/12/2022 17:45:53
j-easy/easy-rules,https://github.com/j-easy/easy-rules,master,d4450831533e47a5c0cb361edb80dad43db228a4,4191,938,13/12/2022 17:44:39
undertow-io/undertow,https://github.com/undertow-io/undertow,master,50c9301af698f9f356158532d28fa9486570e04c,3274,938,13/12/2022 17:45:53
DeekshithSN/sample-web-application,https://github.com/DeekshithSN/sample-web-application,ansible-sonar,5af954f7deae744b11da28e575bf567dc9ce3023,22,940,13/12/2022 17:44:34
ityouknow/spring-boot-leaning,https://github.com/ityouknow/spring-boot-leaning,master,6bff72be6ea75fcf311ea167aacda3a3c00a77e9,2076,941,13/12/2022 17:44:39
shekhargulati/99-problems,https://github.com/shekhargulati/99-problems,master,7e120de6259b408eed8d1d17538b561a01bbfb9a,3313,942,13/12/2022 17:44:34
micronaut-projects/micronaut-core,https://github.com/micronaut-projects/micronaut-core,4.0.x,629db3883a94387a61a3d3a24903cf725b355d0a,5551,942,13/12/2022 17:44:39
google/j2objc,https://github.com/google/j2objc,master,2709cde0de463e479d26447b8d5c3b0c82c388f0,5907,942,13/12/2022 17:44:39
Doikki/DKVideoPlayer,https://github.com/Doikki/DKVideoPlayer,master,5203b55fcd01207b44e76e14f2730ced7cbdf5ee,4305,942,13/12/2022 17:44:39
socketio/socket.io-client-java,https://github.com/socketio/socket.io-client-java,main,ad3a930e346ad54acd8e895b01418f7b936776dd,5039,943,13/12/2022 17:44:39
osmdroid/osmdroid,https://github.com/osmdroid/osmdroid,master,713f680f8e7c56418331415f7dd8adb9b6f43375,2485,944,13/12/2022 17:44:34
aws-samples/aws-codedeploy-sample-tomcat,https://github.com/aws-samples/aws-codedeploy-sample-tomcat,master,2a6d210252fa0eb1d20e9ef3d63dfe405ede0425,94,944,13/12/2022 17:44:34
llazyl/TVBox,https://github.com/llazyl/TVBox,main,9d41bf6d4f700445b708f90b534e310b94bc79fc,30,944,13/12/2022 17:45:53
line/line-bot-sdk-java,https://github.com/line/line-bot-sdk-java,master,a9515480ffa62e9a6f3bb560542098a47119fc69,550,945,13/12/2022 17:44:34
alibaba/TProfiler,https://github.com/alibaba/TProfiler,master,8344d1ae2d4a83f6c7ead16fec392b5fce95bba5,2336,945,13/12/2022 17:44:34
DeemOpen/zkui,https://github.com/DeemOpen/zkui,master,1b3e7c133ab76a26c9c5b3653679d77d0cd6358d,2239,946,13/12/2022 17:45:51
JodaOrg/joda-time,https://github.com/JodaOrg/joda-time,main,3c05be0bd6ea73a77bc782ac5acff937c53a6416,4850,946,13/12/2022 17:45:51
springframeworkguru/mssc-brewery,https://github.com/springframeworkguru/mssc-brewery,master,bdcc9429fb24a0cdf0feebf204b02af55d67dabc,59,946,13/12/2022 17:45:53
chewiebug/GCViewer,https://github.com/chewiebug/GCViewer,develop,eb2676fd366dc84263780f8467e0ce3cb4da0194,4112,947,13/12/2022 17:45:51
super30admin/Competitive-Coding-1,https://github.com/super30admin/Competitive-Coding-1,master,26bd073543b72a4df89ec7a71dd7d62b84c5b00e,1,947,13/12/2022 17:45:53
jitsi/jitsi,https://github.com/jitsi/jitsi,master,d0aa71b67ed07aef9045f4ef876e5c2aa5c013ed,3765,949,13/12/2022 17:44:34
lightbend/config,https://github.com/lightbend/config,main,4458ea947a7a2a668bb811a122455f1f05975172,5804,950,13/12/2022 17:44:39
rubenlagus/TelegramBots,https://github.com/rubenlagus/TelegramBots,master,888e0deac6aee5f6ea98325f20c82c168e92aa53,3408,951,13/12/2022 17:44:39
fossasia/phimpme-android,https://github.com/fossasia/phimpme-android,development,60acbd2e5691d3d2f794b86e1277bfedab481035,2550,951,13/12/2022 17:44:39
jayZheng87/Thusy,https://github.com/jayZheng87/Thusy,master,6067e1410f0733a8a1c68ef05d7328d28909f602,1483,953,13/12/2022 17:45:51
gocd/gocd,https://github.com/gocd/gocd,master,3be045ebad1bf54dcd8a6fcf4bfe0c1737bea9c9,6657,954,13/12/2022 17:44:39
LaunchCodeEducation/java-web-dev-studio7,https://github.com/LaunchCodeEducation/java-web-dev-studio7,master,974e5d43e87f9a3fa36ef4c498e95ec6f4bf598d,1,955,13/12/2022 17:44:42
spring-projects/spring-authorization-server,https://github.com/spring-projects/spring-authorization-server,main,917988134765d297ec1be022d4fc3201c01c09fc,4041,956,13/12/2022 17:45:51
deathmarine/Luyten,https://github.com/deathmarine/Luyten,master,64af8d1df1d2cab029779142726fbcd8bc482956,4602,956,13/12/2022 17:45:51
cbeust/testng,https://github.com/cbeust/testng,master,5ac0021d14f7eb00804fe235aaefc5c2fbce57d1,1793,959,13/12/2022 17:44:34
spring-attic/greenhouse,https://github.com/spring-attic/greenhouse,master,c7994183812150de971ef4a76c08d5b4631ab5d1,1324,959,13/12/2022 17:44:39
snyk-labs/java-goof,https://github.com/snyk-labs/java-goof,main,6d52cb947793e03b08a0467393b15293fa5b8d15,71,960,13/12/2022 17:44:34
apache/mahout,https://github.com/apache/mahout,trunk,928f422b2c0f6fb3132c6a523c9cb5ca9a44e15a,2025,960,13/12/2022 17:44:34
LineageOS/android_frameworks_base,https://github.com/LineageOS/android_frameworks_base,lineage-19.1,44fa57d2ebaa9ae4c41f94d9889115671dc82438,351,960,13/12/2022 17:44:34
JakeWharton/u2020,https://github.com/JakeWharton/u2020,master,af670f964a4750707d98cda31cfa95244eb3ec07,5695,961,13/12/2022 17:44:34
google/google-authenticator,https://github.com/google/google-authenticator,master,51781910ae2bb1abf8ac51b290272f86f3651235,4944,961,13/12/2022 17:44:39
amitshekhariitbhu/Fast-Android-Networking,https://github.com/amitshekhariitbhu/Fast-Android-Networking,master,e5cf0b7808efdd3488b318855815fc7a683a4876,5497,961,13/12/2022 17:44:39
nsdown/ZhihuDailyPurify,https://github.com/nsdown/ZhihuDailyPurify,master,0c99b542af1275f770e51d4f70e932b84096e4f5,6,962,13/12/2022 17:45:47
caelum/fj22-ingressos,https://github.com/caelum/fj22-ingressos,master,98ddc96efb3a4bb1195d3d0ff44f8c905e2309ab,8,963,13/12/2022 17:44:39
katzer/cordova-plugin-background-mode,https://github.com/katzer/cordova-plugin-background-mode,master,0a6bf35cb9f2bfcb8a0a79767b57158e17a32f13,1368,963,13/12/2022 17:45:51
apache/incubator-linkis,https://github.com/apache/incubator-linkis,master,64b6dac5f90b032504b874eb428b97ae66b9cb10,2758,964,13/12/2022 17:44:34
stacktipslab/Android-UI-Tutorials,https://github.com/stacktipslab/Android-UI-Tutorials,master,d2a600aec0e473dee65c9b9c7058f8a07ab04cd9,229,964,13/12/2022 17:45:50
apache/cloudstack,https://github.com/apache/cloudstack,main,def7ce655df38c89f3dffed1da3ba785d8e2ee3e,1308,965,13/12/2022 17:44:34
Red5/red5-server,https://github.com/Red5/red5-server,master,f76bae108505ef277da5898748dd7f4db428e844,3153,966,13/12/2022 17:45:50
nutzam/nutz,https://github.com/nutzam/nutz,master,9b0983fcbd77fd37d9ebdb22a7b3b3afcdc796a4,2471,966,13/12/2022 17:45:50
hazelybell/lonelyTwitter,https://github.com/hazelybell/lonelyTwitter,master,c61ee9978bdb77c2415a8a7f1254e383c261eeda,3,967,13/12/2022 17:44:34
apache/phoenix,https://github.com/apache/phoenix,master,dfecc198e88a759105dd5b72564cdbcd7c0ac566,960,968,13/12/2022 17:44:34
BruceEckel/OnJava8-Examples,https://github.com/BruceEckel/OnJava8-Examples,master,ade1d5ef122bdfc1320370e2fde7a62245e26d41,2617,969,13/12/2022 17:44:39
wdullaer/MaterialDateTimePicker,https://github.com/wdullaer/MaterialDateTimePicker,master,f849a5c2704c974ba182fe4e2e205fa7f4fd395d,4653,970,13/12/2022 17:45:50
spring-cloud/spring-cloud-kubernetes,https://github.com/spring-cloud/spring-cloud-kubernetes,main,e3ae419b7f2d82f7f36da71169c3cdb4c954ace0,3195,970,13/12/2022 17:45:50
super30admin/Linked-List-2,https://github.com/super30admin/Linked-List-2,master,863f233f43023364e64d988ee9b2845bfcd4a4cd,3,971,13/12/2022 17:44:36
sofastack/sofa-jraft,https://github.com/sofastack/sofa-jraft,master,ee41b6145b44570c2ee59c321c682469abdc8b4c,3053,972,13/12/2022 17:44:39
pili-engineering/PLDroidPlayer,https://github.com/pili-engineering/PLDroidPlayer,master,5dfd55b3aa03a1559e6bc433e6b75ea4eaa5744c,4564,972,13/12/2022 17:45:50
aistrate/AlgorithmsSedgewick,https://github.com/aistrate/AlgorithmsSedgewick,master,06703c1371ffdf669d3996baa9e9684d13cdcc82,2695,973,13/12/2022 17:45:50
elastic/elasticsearch-hadoop,https://github.com/elastic/elasticsearch-hadoop,main,ce3a5e4ef94435e62684c0a77e583d00ed1478e9,1890,975,13/12/2022 17:44:39
techGay/v9porn,https://github.com/techGay/v9porn,master,9539b4ecfeb112746a1350d5a28a921bcb0019a4,4613,979,13/12/2022 17:45:47
smeise/Sunshine,https://github.com/smeise/Sunshine,1.01-hello-world,807b568f785ffa9e147103ec503c8ffb92fab5ca,6,980,13/12/2022 17:45:47
